date_time,traffic_volume,Day sin,Day cos,Year sin,Year cos,temp,clouds_all,rain_1h,snow_1h,is_weekend,is_holiday,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Smoke,weather_Snow,weather_Squall,weather_Thunderstorm,dayofweek,day,month,year,day_hour
2012-10-02 09:00:00,5545,-0.25881904510043724,-0.9659258262896265,-0.9996996358349196,0.024507919363528557,288.28,40,0.0,0.0,0,1,False,True,False,False,False,False,False,False,False,False,False,1,2,10,2012,9
2012-10-02 10:00:00,4516,-0.4999999999935612,-0.8660254037881561,-0.999681812180378,0.02522448008890313,289.36,75,0.0,0.0,0,1,False,True,False,False,False,False,False,False,False,False,False,1,2,10,2012,10
2012-10-02 11:00:00,4767,-0.707106781187848,-0.7071067811852471,-0.9996634749123582,0.025941027854521112,289.58,90,0.0,0.0,0,1,False,True,False,False,False,False,False,False,False,False,False,1,2,10,2012,11
2012-10-02 12:00:00,5026,-0.8660254037827193,-0.500000000002978,-0.9996446240402814,0.026657562292236772,290.13,90,0.0,0.0,0,1,False,True,False,False,False,False,False,False,False,False,False,1,2,10,2012,12
2012-10-02 13:00:00,4918,-0.9659258262868122,-0.2588190451109403,-0.9996252595738312,0.02737408303396805,291.14,75,0.0,0.0,0,1,False,True,False,False,False,False,False,False,False,False,False,1,2,10,2012,13
2012-10-02 14:00:00,5181,-1.0,5.575166720433618e-13,-0.9996053815229597,0.02809058971146946,291.72,1,0.0,0.0,0,1,True,False,False,False,False,False,False,False,False,False,False,1,2,10,2012,14
2012-10-02 15:00:00,5584,-0.96592582629029,0.2588190450979613,-0.9995849898978784,0.028807081956673194,293.17,1,0.0,0.0,0,1,True,False,False,False,False,False,False,False,False,False,False,1,2,10,2012,15
2012-10-02 16:00:00,6015,-0.8660254037894377,0.4999999999913413,-0.9995640847090638,0.02952355940146206,293.86,1,0.0,0.0,0,1,True,False,False,False,False,False,False,False,False,False,False,1,2,10,2012,16
2012-10-02 17:00:00,5791,-0.7071067811870596,0.7071067811860354,-0.9995426659672566,0.030240021677726447,294.14,20,0.0,0.0,0,1,False,True,False,False,False,False,False,False,False,False,False,1,2,10,2012,17
2012-10-02 18:00:00,4770,-0.5000000000051978,0.8660254037814377,-0.9995207336834613,0.030956468417364557,293.1,20,0.0,0.0,0,1,False,True,False,False,False,False,False,False,False,False,False,1,2,10,2012,18
2012-10-02 19:00:00,3539,-0.2588190451134163,0.9659258262861489,-0.9994982878689461,0.03167289925228256,290.97,20,0.0,0.0,0,1,False,True,False,False,False,False,False,False,False,False,False,1,2,10,2012,19
2012-10-02 20:00:00,2784,-2.005827479551157e-12,1.0,-0.9994753285352433,0.032389313814394805,289.38,1,0.0,0.0,0,1,True,False,False,False,False,False,False,False,False,False,False,1,2,10,2012,20
2012-10-02 21:00:00,2361,0.25881904509548526,0.9659258262909535,-0.9994518556941488,0.033105711735623995,288.61,1,0.0,0.0,0,1,True,False,False,False,False,False,False,False,False,False,False,1,2,10,2012,21
2012-10-02 22:00:00,1529,0.49999999998912137,0.8660254037907195,-0.9994278693577224,0.03382209264790139,287.16,1,0.0,0.0,0,1,True,False,False,False,False,False,False,False,False,False,False,1,2,10,2012,22
2012-10-02 23:00:00,963,0.7071067811842229,0.7071067811888722,-0.9994033695382878,0.034538456183166984,285.45,1,0.0,0.0,0,1,True,False,False,False,False,False,False,False,False,False,False,1,2,10,2012,23
2012-10-03 00:00:00,506,0.8660254037801559,0.5000000000074178,-0.9993783562484323,0.0352548019733697,284.63,1,0.0,0.0,0,1,True,False,False,False,False,False,False,False,False,False,False,2,3,10,2012,0
2012-10-03 01:00:00,321,0.9659258262892517,0.25881904510183623,-0.9993528295010072,0.03597112965046759,283.47,1,0.0,0.0,0,1,True,False,False,False,False,False,False,False,False,False,False,2,3,10,2012,1
2012-10-03 02:00:00,273,1.0,4.569171631145676e-12,-0.9993267893091277,0.03668743884642798,281.18,1,0.0,0.0,0,1,True,False,False,False,False,False,False,False,False,False,False,2,3,10,2012,2
2012-10-03 03:00:00,367,0.9659258262916169,-0.25881904509300924,-0.9993002356861702,0.03740372919328453,281.09,1,0.0,0.0,0,1,True,False,False,False,False,False,False,False,False,False,False,2,3,10,2012,3
2012-10-03 04:00:00,814,0.8660254037847251,-0.4999999999995038,-0.999273168645782,0.03812000032291016,279.53,1,0.0,0.0,0,1,True,False,False,False,False,False,False,False,False,False,False,2,3,10,2012,4
2012-10-03 05:00:00,2718,0.7071067811906847,-0.7071067811824103,-0.9992455882018669,0.03883625186735806,278.62,1,0.0,0.0,0,1,True,False,False,False,False,False,False,False,False,False,False,2,3,10,2012,5
